epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.592,1.16633,1.00834,1.19266,0.32504,0.21626,0.17378,0.08564,1.80351,2.41682,1.61855,0.0700698,0.00332558,0.00332558
1,162.823,1.15405,0.99661,1.18425,0.26298,0.24847,0.18057,0.08988,1.84152,3.21649,1.68116,0.0700698,0.00332558,0.00332558
1,160.125,1.14833,0.98333,1.18261,0.33824,0.28416,0.25622,0.13103,1.64005,1.90882,1.51397,0.0700698,0.00332558,0.00332558
1,160.302,1.15614,0.98479,1.18503,0.49379,0.32521,0.29536,0.14943,1.75189,1.83336,1.6648,0.0700698,0.00332558,0.00332558
1,159.87,1.15011,0.97806,1.17962,0.43945,0.30966,0.29571,0.14746,1.72037,1.83295,1.57145,0.0700698,0.00332558,0.00332558
1,161.233,1.14046,0.97079,1.17537,0.33179,0.25704,0.22463,0.11232,1.75242,2.10528,1.57121,0.0700698,0.00332558,0.00332558
1,160.889,1.14064,0.97551,1.17633,0.32787,0.27209,0.2146,0.10828,1.77936,2.17583,1.63235,0.0700698,0.00332558,0.00332558
1,161.752,1.13197,0.9674,1.17194,0.27487,0.23599,0.16056,0.079,1.79521,3.13757,1.65657,0.0700698,0.00332558,0.00332558
1,162.427,1.13064,0.96705,1.17001,0.24401,0.24632,0.1486,0.07646,1.78913,2.76023,1.70449,0.0700698,0.00332558,0.00332558
1,161.088,1.13529,0.96073,1.17119,0.32775,0.25897,0.21651,0.09997,1.9483,2.69939,1.74765,0.0700698,0.00332558,0.00332558
1,161.407,1.12018,0.95025,1.16336,0.30176,0.24955,0.19853,0.0876,1.97404,2.73982,1.79514,0.0700698,0.00332558,0.00332558
1,163.439,1.1012,0.93173,1.15308,0.26838,0.19118,0.1441,0.06531,1.95979,3.64899,1.76956,0.0700698,0.00332558,0.00332558
1,158.985,1.0966,0.92282,1.1508,0.30721,0.2483,0.19394,0.08629,2.0036,2.58967,1.76022,0.0700698,0.00332558,0.00332558
1,159.915,1.08928,0.91697,1.14796,0.42128,0.24593,0.18028,0.07287,2.18156,2.85689,1.96156,0.0700698,0.00332558,0.00332558
1,159.672,1.08281,0.90825,1.14434,0.21425,0.2121,0.14118,0.0702,1.9096,3.14174,1.76212,0.0700698,0.00332558,0.00332558
1,162.575,1.08817,0.90965,1.14796,0.33369,0.25128,0.214,0.10386,1.77789,2.74132,1.64116,0.0700698,0.00332558,0.00332558
1,162.758,1.08278,0.90063,1.14674,0.28115,0.20253,0.15894,0.06302,2.33264,2.84228,2.02415,0.0700698,0.00332558,0.00332558
1,159.975,1.07276,0.89168,1.13879,0.35887,0.2343,0.2069,0.09676,1.92206,2.19755,1.73245,0.0700698,0.00332558,0.00332558
1,161.528,1.06407,0.88213,1.13452,0.25985,0.19184,0.10655,0.05571,1.83066,4.39828,1.75099,0.0700698,0.00332558,0.00332558
1,159.244,1.07349,0.88449,1.13581,0.2707,0.24435,0.18348,0.09179,1.77548,2.5946,1.63508,0.0700698,0.00332558,0.00332558
